Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 64, 20, 15, 64, 20, 15, 64, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1200, 1200, 2, 2432, 0, 0, ,,,,,,,, DDR, CPU, 1200, 1200, 64, 77824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4, DataConvert, 64, 20, 15, 64, 20, 15, 64,  COL, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 64, 77824, 0, 0, ,,,,,,,, MSMC, CPU, 832, 716, 64, 53376, 44, 54, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 12, BatchNorm, 64, 20, 15, 64, 20, 15, 64,  COL, 0, 0, 630, 630, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53248, 0, 0, ,,,,,,,, MSMC, CPU, 832, 716, 64, 53376, 44, 54, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 13,     Conv, 64, 20, 15, 16, 20, 15, 64, ROW_L, 0, 0, 630, 630, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 64, 45056, 0, 0, ,,,,,,,, MSMC, CPU, 832, 716, 16, 13440, 44, 54, ,,,,,,,, L2, DMA, 192, 128, 16, 3072, 0, b000, MSMC, DMA_ONCE, 192, 192, 16, 3072, 0, 533180, 
 15,   Resize, 16, 20, 15, 16, 80, 60, 16,  COL, 0, 0, 758, 758, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 16, 13312, 0, 0, ,,,,,,,, MSMC, CPU, 10560, 10500, 16, 169088, 332, 2664b4, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 16,   Resize, 16, 80, 60, 16, 320, 240, 16,  COL, 0, 0, 10170, 10176, 1, 1, 1,,,,,,,,, L2, DMA, 10560, 10560, 16, 168960, 0, 0, ,,,,,,,, MSMC, CPU, 157248, 157140, 16, 2516096, 1292, 74, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 18,   Resize, 16, 320, 240, 16, 640, 480, 16,  COL, 1288, 0, 17388, 155856, 144, 32, 144,,,,,,,,, L2, DMA, 37352, 37352, 1, 37376, 0, 0, MSMC, CPU, 621460, 0, 1, 621460, 0, 266480, DDR, DMA, 621460, 621460, 16, 9944448, 2572, 422a674, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Data, 64, 20, 15, 32, 80, 60, 64, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1200, 1200, 2, 2432, 0, 0, ,,,,,,,, DDR, CPU, 19200, 19200, 32, 615424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 5, DataConvert, 32, 80, 60, 32, 80, 60, 32,  COL, 0, 0, 19200, 19200, 4, 1, 4,,,,,,,,, L2, DMA, 19264, 19264, 16, 308224, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10046, 32, 321664, 164, 5c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 11,     Conv, 32, 80, 60, 16, 80, 60, 32, ROW_L, 0, 0, 7040, 9720, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 32, 452608, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10046, 16, 160896, 164, 2664dc, ,,,,,,,, L2, DMA_ONCE, 64, 64, 16, 1024, 0, 6f100, ,,,,,,,, 
 14,   Resize, 16, 80, 60, 16, 320, 240, 16,  COL, 0, 0, 10046, 10046, 1, 1, 1,,,,,,,,, L2, DMA, 10048, 10048, 16, 160768, 0, 0, ,,,,,,,, MSMC, CPU, 157248, 157140, 16, 2516096, 1292, 74, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 17,   Resize, 16, 320, 240, 16, 640, 480, 16,  COL, 1288, 0, 17388, 155856, 144, 32, 144,,,,,,,,, L2, DMA, 37352, 37352, 1, 37376, 0, 0, MSMC, CPU, 621460, 0, 1, 621460, 0, 266480, DDR, DMA, 621460, 621460, 16, 9944448, 2572, 38ae8f4, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Data, 64, 20, 15, 16, 320, 240, 64, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1200, 1200, 2, 2432, 0, 0, ,,,,,,,, DDR, CPU, 307200, 307200, 16, 4916224, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 6, DataConvert, 16, 320, 240, 16, 320, 240, 16,  COL, 0, 0, 153600, 307200, 32, 1, 32,,,,,,,,, L2, DMA, 307200, 307200, 1, 307200, 0, 0, ,,,,,,,, MSMC, CPU, 155366, 155366, 16, 2486016, 644, 7c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9,     Conv, 16, 320, 240, 16, 320, 240, 16, ROW_L, 0, 0, 9856, 154080, 16, 1, 16,,,,,,,,, L2, DMA, 19776, 19776, 16, 454400, 0, 0, ,,,,,,,, MSMC, CPU, 155456, 155366, 16, 2487424, 644, 25ef7c, ,,,,,,,, L2, DMA_ONCE, 32, 32, 16, 512, 0, 6f500, ,,,,,,,, 
 10,   Resize, 16, 320, 240, 16, 640, 480, 16,  COL, 1284, 0, 17334, 155366, 144, 32, 144,,,,,,,,, L2, DMA, 37236, 37236, 1, 37248, 0, 0, MSMC, CPU, 617926, 0, 1, 617926, 0, 0, DDR, DMA, 617926, 617926, 16, 9887872, 1284, 2f4087c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3,     Data, 64, 20, 15, 8, 640, 480, 64, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1200, 1200, 2, 2432, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 1228800, 8, 9831424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 7, DataConvert, 8, 640, 480, 8, 640, 480, 8,  COL, 0, 0, 204800, 1228800, 48, 1, 48,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 614400, 614400, 8, 4915328, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 8,     Conv, 8, 640, 480, 16, 640, 480, 8, ROW_C, 0, 0, 16384, 614400, 38, 1, 38,,,,,,,,, L2, DMA, 32768, 32768, 8, 262144, 0, 0, MSMC, CPU, 16384, 0, 16, 524288, 0, 4b0080, DDR, DMA, 638976, 614400, 16, 10224640, 0, 2580400, ,,,,,,,, L2, DMA_ONCE, 16, 16, 16, 256, 0, 6f700, ,,,,,,,, 
 19,   Concat, 64, 640, 480, 64, 640, 480, 64,  COL, 0, 0, 204800, 614400, 192, 128, 192,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, MSMC, CPU, 614400, 0, 1, 614400, 0, 0, DDR, DMA, 614400, 614400, 64, 39322624, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 20,     Conv, 64, 640, 480, 65, 640, 480, 64, ROW_C, 0, 0, 2048, 614400, 300, 1, 300,,,,,,,,, L2, DMA, 4096, 4096, 64, 262144, 0, 0, MSMC, CPU, 2048, 0, 65, 266240, 0, 0, DDR, DMA, 616448, 614400, 65, 40070144, 0, 2580400, ,,,,,,,, L2, DMA, 192, 128, 65, 12544, 0, 40000, MSMC, DMA_ONCE, 192, 192, 65, 12544, 0, 530080, 
 21,     Data, 65, 640, 480, 0, 0, 0, 65, FRAME, 0, 0, 307200, 307200, 1, 1, 1,,,,,,,,, MSMC, DMA, 0, 307200, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 1200, 0, 0, 77824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
